timestamp,container,cpu_pct,mem_usage,mem_pct
1775989822,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989822,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989825,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989825,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989828,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989828,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989830,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989830,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989833,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989833,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989836,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989836,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989840,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989840,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989843,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989843,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989846,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989846,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989849,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989849,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989852,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989852,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989855,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989855,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989858,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989859,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989862,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989862,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989865,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989865,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989867,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989867,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989871,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989871,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989874,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989874,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989877,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989877,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989880,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989880,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989883,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989884,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989887,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989887,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989890,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989890,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989894,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989894,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989896,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989896,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989899,bench-rest-proxy-1,0.00%,14.12MiB / 2GiB,0.69%
1775989899,bench-grpc-server-1,0.00%,11.66MiB / 4GiB,0.28%
1775989906,bench-rest-proxy-1,0.00%,0B / 0B,0.00%
1775989906,bench-grpc-server-1,0.00%,0B / 0B,0.00%
1775989911,bench-rest-proxy-1,0.00%,0B / 0B,0.00%
1775989911,bench-grpc-server-1,41.80%,2.238MiB / 4GiB,0.05%
1775989914,bench-rest-proxy-1,85.81%,10.63MiB / 2GiB,0.52%
1775989914,bench-grpc-server-1,24.43%,7.898MiB / 4GiB,0.19%
1775989917,bench-rest-proxy-1,101.14%,10.67MiB / 2GiB,0.52%
1775989917,bench-grpc-server-1,43.88%,7.504MiB / 4GiB,0.18%
1775989920,bench-rest-proxy-1,102.21%,10.97MiB / 2GiB,0.54%
1775989920,bench-grpc-server-1,52.41%,7.352MiB / 4GiB,0.18%
1775989923,bench-rest-proxy-1,107.49%,11.07MiB / 2GiB,0.54%
1775989923,bench-grpc-server-1,51.29%,7.406MiB / 4GiB,0.18%
1775989925,bench-rest-proxy-1,99.63%,11.74MiB / 2GiB,0.57%
1775989925,bench-grpc-server-1,39.64%,7.52MiB / 4GiB,0.18%
1775989927,bench-rest-proxy-1,114.50%,34.88MiB / 2GiB,1.70%
1775989927,bench-grpc-server-1,42.67%,7.297MiB / 4GiB,0.18%
1775989930,bench-rest-proxy-1,102.67%,33.21MiB / 2GiB,1.62%
1775989930,bench-grpc-server-1,40.38%,8MiB / 4GiB,0.20%
1775989933,bench-rest-proxy-1,57.79%,27.77MiB / 2GiB,1.36%
1775989933,bench-grpc-server-1,38.08%,7.457MiB / 4GiB,0.18%
